strike,2021-03-19,2021-04-16,2021-05-21,2021-08-20
1.0,1.875,1.796875,1.53515625,1.4375
2.0,1.875,1.796875,1.53515625,1.4375
3.0,1.875,1.796875,1.53515625,1.4375
3.5,1.875,1.3196958025225234,1.53515625,1.4375
4.0,1.875,1.09375,1.30859375,1.4375
4.5,1.875,1.1190375924324292,1.36328125,1.66015625
5.0,1.875,1.21875,1.19921875,1.279296875
5.5,1.875,1.216078642882902,1.55078125,1.240234375
6.0,1.875,1.17578125,1.251953125,1.25390625
7.0,1.75,1.189453125,1.208984375,1.3193359375
8.0,1.75,1.3515625,1.7294921875,1.673828125
9.0,1.75,1.408203125,1.9599609375,1.275390625
10.0,1.75,1.515369973710878,1.6015625,1.779296875
11.0,1.75,1.7074272653775444,1.66015625,1.84375
12.0,1.75,1.984375,1.497506975208191,1.9353286785995225
13.0,1.75,1.984375,0.9736328125,1.96875
14.0,1.75,1.984375,0.9736328125,1.7724609375
15.0,1.75,1.984375,0.9736328125,1.5966796875
16.0,1.75,1.984375,0.9736328125,1.4523795250735827
17.0,1.75,1.984375,0.9736328125,1.334292491764777
18.0,1.75,1.984375,0.9736328125,1.2424185875735827
19.0,1.75,1.984375,0.9736328125,1.1767578125
20.0,1.75,1.984375,0.9736328125,1.1767578125
